order_id,new_success_date,old_success_date
266520,2018-12-21 19:44:00,2019-01-22 19:44:00
266508,2018-12-21 19:39:00,2019-01-22 19:39:00
266506,2018-12-21 19:37:00,2019-01-22 19:37:00
266502,2018-12-21 19:35:00,2019-01-22 19:35:00
266500,2018-12-21 19:33:00,2019-01-22 19:33:00
266499,2018-12-21 19:32:00,2019-01-22 19:32:00
266495,2018-12-21 19:28:00,2019-01-22 19:28:00
266494,2018-12-21 19:27:00,2019-01-22 19:27:00
266489,2018-12-21 19:25:00,2019-01-22 19:25:00
266488,2018-12-21 19:25:00,2019-01-22 19:25:00
266485,2018-12-21 19:22:00,2019-01-22 19:22:00
266484,2018-12-21 19:22:00,2019-01-22 19:22:00
266482,2018-12-21 19:21:00,2019-01-22 19:21:00
266477,2018-12-21 19:20:00,2019-01-22 19:20:00
266476,2018-12-21 19:20:00,2019-01-22 19:20:00
266473,2018-12-21 19:18:00,2019-01-22 19:18:00
266470,2018-12-22 19:16:00,2019-01-22 19:16:00
266468,2018-12-22 19:14:00,2019-01-22 19:14:00
266465,2018-12-22 19:11:00,2019-01-22 19:11:00
266461,2018-12-22 19:09:00,2019-01-22 19:09:00
266453,2018-12-22 19:04:00,2019-01-22 19:04:00
266451,2018-12-22 19:04:00,2019-01-22 19:04:00
266444,2018-12-22 18:55:00,2019-01-22 18:55:00
266435,2018-12-22 18:48:00,2019-01-22 18:48:00
266419,2018-12-22 18:38:00,2019-01-22 18:38:00
266415,2018-12-22 18:33:00,2019-01-22 18:33:00
266404,2018-12-22 18:20:00,2019-01-22 18:20:00
266389,2018-12-22 18:06:00,2019-01-22 18:06:00
266386,2018-12-22 18:05:00,2019-01-22 18:05:00
266350,2018-12-22 17:26:00,2019-01-22 17:26:00
266274,2018-12-22 16:33:00,2019-01-22 16:33:00
266268,2018-12-22 16:30:00,2019-01-22 16:30:00
266267,2018-12-22 16:27:00,2019-01-22 16:27:00
266266,2018-12-22 16:26:00,2019-01-22 16:26:00
266257,2018-12-22 16:20:00,2019-01-22 16:20:00
266248,2018-12-23 16:08:00,2019-01-22 16:08:00
266242,2018-12-23 16:06:00,2019-01-22 16:06:00
266236,2018-12-23 16:04:00,2019-01-22 16:04:00
266191,2018-12-23 15:16:00,2019-01-22 15:16:00
266188,2018-12-23 15:12:00,2019-01-22 15:12:00
266109,2018-12-23 13:57:00,2019-01-22 13:57:00
266105,2018-12-23 13:54:00,2019-01-22 13:54:00
266066,2018-12-23 13:23:00,2019-01-22 13:23:00
266060,2018-12-23 13:18:00,2019-01-22 13:18:00
266041,2018-12-23 12:57:00,2019-01-22 12:57:00
266027,2018-12-23 12:52:00,2019-01-22 12:52:00
266023,2018-12-23 12:46:00,2019-01-22 12:46:00
266010,2018-12-23 12:30:00,2019-01-22 12:30:00
265994,2018-12-23 12:19:00,2019-01-22 12:19:00
265467,2018-12-24 19:01:00,2019-01-21 19:01:00
265460,2018-12-24 18:58:00,2019-01-21 18:58:00
265457,2018-12-24 18:57:00,2019-01-21 18:57:00
265455,2018-12-24 18:52:00,2019-01-21 18:52:00
265440,2018-12-24 18:35:00,2019-01-21 18:35:00
265438,2018-12-24 18:33:00,2019-01-21 18:33:00
265434,2018-12-24 18:30:00,2019-01-21 18:30:00
265431,2018-12-24 18:28:00,2019-01-21 18:28:00
265380,2018-12-24 17:31:00,2019-01-21 17:31:00
265351,2018-12-24 16:51:00,2019-01-21 16:51:00
265349,2018-12-24 16:49:00,2019-01-21 16:49:00
265343,2018-12-24 16:46:00,2019-01-21 16:46:00
265302,2018-12-24 15:52:00,2019-01-21 15:52:00
265294,2018-12-24 15:49:00,2019-01-21 15:49:00
265292,2018-12-24 15:47:00,2019-01-21 15:47:00
265200,2018-12-25 13:54:00,2019-01-21 13:54:00
265199,2018-12-25 13:52:00,2019-01-21 13:52:00
265193,2018-12-25 13:50:00,2019-01-21 13:50:00
265192,2018-12-25 13:47:00,2019-01-21 13:47:00
265189,2018-12-25 13:45:00,2019-01-21 13:45:00
265168,2018-12-25 13:22:00,2019-01-21 13:22:00
265165,2018-12-25 13:18:00,2019-01-21 13:18:00
265153,2018-12-25 13:10:00,2019-01-21 13:10:00
265144,2018-12-25 13:05:00,2019-01-21 13:05:00
265129,2018-12-25 12:58:00,2019-01-21 12:58:00
265123,2018-12-25 12:56:00,2019-01-21 12:56:00
262206,2018-12-25 18:17:00,2019-01-17 18:17:00
262191,2018-12-25 17:59:00,2019-01-17 17:59:00
262173,2018-12-25 17:43:00,2019-01-17 17:43:00
261362,2018-12-26 19:11:00,2019-01-16 19:11:00
261354,2018-12-26 19:07:00,2019-01-16 19:07:00
261353,2018-12-26 19:06:00,2019-01-16 19:06:00
261352,2018-12-26 19:02:00,2019-01-16 19:02:00
261350,2018-12-26 18:59:00,2019-01-16 18:59:00
261341,2018-12-26 18:56:00,2019-01-16 18:56:00
261337,2018-12-26 18:52:00,2019-01-16 18:52:00
261335,2018-12-26 18:49:00,2019-01-16 18:49:00
261329,2018-12-26 18:43:00,2019-01-16 18:43:00
261212,2018-12-26 17:03:00,2019-01-16 17:03:00
261030,2018-12-26 14:24:00,2019-01-16 14:24:00
261026,2018-12-26 14:22:00,2019-01-16 14:22:00
260977,2018-12-26 13:43:00,2019-01-16 13:43:00
260964,2018-12-26 13:30:00,2019-01-16 13:30:00
260876,2018-12-26 12:01:00,2019-01-16 12:01:00
260867,2018-12-27 11:51:00,2019-01-16 11:51:00
260860,2018-12-27 11:39:00,2019-01-16 11:39:00
260853,2018-12-27 11:26:00,2019-01-16 11:26:00
260475,2018-12-27 19:49:00,2019-01-15 19:49:00
260471,2018-12-27 19:47:00,2019-01-15 19:47:00
260454,2018-12-27 19:31:00,2019-01-15 19:31:00
260440,2018-12-27 19:27:00,2019-01-15 19:27:00
260434,2018-12-27 19:24:00,2019-01-15 19:24:00
260378,2018-12-27 18:45:00,2019-01-15 18:45:00
260376,2018-12-27 18:42:00,2019-01-15 18:42:00
260360,2018-12-27 18:19:00,2019-01-15 18:19:00
260285,2018-12-27 17:33:00,2019-01-15 17:33:00
260265,2018-12-27 17:18:00,2019-01-15 17:18:00
260252,2018-12-27 17:09:00,2019-01-15 17:09:00
260193,2018-12-28 16:12:00,2019-01-15 16:12:00
260181,2018-12-28 15:41:00,2019-01-15 15:41:00
260177,2018-12-28 15:38:00,2019-01-15 15:38:00
260062,2018-12-28 13:34:00,2019-01-15 13:34:00
260012,2018-12-28 12:42:00,2019-01-15 12:42:00
260001,2018-12-28 12:35:00,2019-01-15 12:35:00
259972,2018-12-28 12:08:00,2019-01-15 12:08:00
259923,2018-12-28 11:05:00,2019-01-15 11:05:00
259920,2018-12-28 11:03:00,2019-01-15 11:03:00
259918,2018-12-28 10:59:00,2019-01-15 10:59:00
259913,2018-12-28 10:54:00,2019-01-15 10:54:00
259912,2018-12-28 10:50:00,2019-01-15 10:50:00
259518,2018-12-28 19:47:00,2019-01-14 19:47:00
259514,2018-12-28 19:45:00,2019-01-14 19:45:00
259504,2018-12-28 19:40:00,2019-01-14 19:40:00
259499,2018-12-29 19:33:00,2019-01-14 19:33:00
259491,2018-12-29 19:29:00,2019-01-14 19:29:00
259489,2018-12-29 19:28:00,2019-01-14 19:28:00
259480,2018-12-29 19:21:00,2019-01-14 19:21:00
259473,2018-12-29 19:17:00,2019-01-14 19:17:00
259465,2018-12-29 19:12:00,2019-01-14 19:12:00
259455,2018-12-29 19:07:00,2019-01-14 19:07:00
259400,2018-12-29 18:38:00,2019-01-14 18:38:00
259305,2018-12-29 17:21:00,2019-01-14 17:21:00
259269,2018-12-29 16:48:00,2019-01-14 16:48:00
259234,2018-12-29 16:15:00,2019-01-14 16:15:00
259225,2018-12-29 15:45:00,2019-01-14 15:45:00
259222,2018-12-29 15:40:00,2019-01-14 15:40:00
259071,2018-12-30 12:56:00,2019-01-14 12:56:00
259047,2018-12-30 12:27:00,2019-01-14 12:27:00
257247,2018-12-30 20:00:00,2019-01-21 20:00:00
257090,2018-12-30 19:31:00,2019-01-11 19:31:00
256139,2018-12-30 17:11:00,2019-01-10 17:11:00
256136,2018-12-30 17:06:00,2019-01-10 17:06:00
249643,2018-12-30 14:42:00,2019-01-04 14:42:00
247439,2018-12-31 17:22:00,2019-01-02 17:22:00
247425,2018-12-31 17:15:00,2019-01-02 17:15:00
247320,2018-12-31 15:58:00,2019-01-02 15:58:00
247298,2018-12-31 15:42:00,2019-01-02 15:42:00
247242,2018-12-31 15:09:00,2019-01-02 15:09:00
210124,2018-12-31 15:46:00,2019-01-02 15:46:00
